#,Who,=,*,A,B,C,D,E
1,panole,7236,+4,492,980,1446,1808,2110
2,minibowser,6870,,496,984,1452,1848,2090
3,djq_fpc,6828,+4,496,980,1440,1792,1720
4,*dreamoon_love_AA,6786,-1,494,968,1428,1816,2130
5,*uwi,6730,,496,952,1410,1792,2080
6,zjt_is_our_red_sun,6692,+3,496,914,1428,1824,1780
7,LLI_E_P_JI_O_K,6686,+1,494,964,1416,1792,1920
7,2019_BecameMaster,6686,+1,442,972,1404,1648,2120
9,ajisam,6628,,438,960,1380,1760,2090
10,haleyk100198,6482,+1,494,976,1422,1760,1730
11,Moysenko,6474,+4,492,968,1398,1656,1560
12,*step_by_step,6436,,496,980,1446,1694,1820
13,Juzek,6416,,496,976,1404,1720,1820
14,ivanilos,6368,+3,492,956,1380,1600,1640
15,*Heltion,6366,,494,952,1380,1680,1860
16,*fedoseev.timofey,6352,,496,976,1422,1448,2010
17,Kho0007,6344,-1,496,972,1428,1688,1810
18,extraterrestrial_,6334,,496,940,1440,1398,2060
18,maxxaon,6334,+5,492,952,1356,1624,1410
20,YuzuChan,6332,,496,972,1350,1704,1810
21,neko_nyaa,6318,+2,494,976,1386,1712,1550
22,RobeZH,6306,+3,494,964,1354,1664,1530
23,I_hate_Shadow_Light,6300,+1,394,800,1218,1648,2140
24,I_AM_CHTHOLLY,6294,,494,964,1398,1608,1830
25,*Farhod_Farmon,6276,,496,976,1440,1824,1540
26,*__Shi,6260,+1,442,956,1392,1760,1610
27,*danya090699,6258,,492,968,1398,1760,1640
28,sdqe,6232,,486,944,1380,1632,1790
29,*progmatic2,6210,-1,474,952,1428,1736,1670
29,*ec24,6210,,490,964,1380,1696,1680
31,HuaJun,6206,-1,496,918,1416,1776,1650
32,*.tx,6192,+1,496,926,1416,1694,1610
33,Mindstorm,6176,+2,436,948,1368,1624,1600
34,*2-SAD,6166,,490,956,1398,1592,1730
35,*MZuev,6162,,440,960,1404,1678,1680
36,*karasek,6156,,494,972,1336,1664,1690
37,Not_A_SingleDogQrz,6130,,488,988,1434,1320,1900
38,sjkmost,6092,,482,944,1344,1552,1770
39,waic,6082,,490,952,1374,1536,1730
40,danq,6048,,492,956,1392,1688,1520
41,*Motarack,6046,+1,494,964,1398,1640,1450
41,langsike,6046,,436,940,1350,1360,1960
43,*Hazyknight,6042,,490,956,1348,1478,1770
44,*Volkov_Ivan,6040,,490,894,1356,1640,1660
45,0w1,6020,,494,968,1428,1320,1810
46,cold_chair,6012,-1,488,952,1404,1588,1630
46,Markellonchik,6012,,496,976,1440,1720,1380
48,NeverM0re,6004,,492,968,1410,1574,1560
49,*Kilani,6000,,494,964,1250,1532,1760
