2019-01-21 16:41:33.511780
#,Who,=,*,A,B,C,D,E
1,panole,7236,+4,492,980,1446,1808,2110
2,minibowser,6870,,496,984,1452,1848,2090
3,djq_fpc,6828,+4,496,980,1440,1792,1720
4,zjt_is_our_red_sun,6692,+3,496,914,1428,1824,1780
5,2019_BecameMaster,6686,+1,442,972,1404,1648,2120
5,LLI_E_P_JI_O_K,6686,+1,494,964,1416,1792,1920
7,ajisam,6628,,438,960,1380,1760,2090
8,haleyk100198,6482,+1,494,976,1422,1760,1730
9,Moysenko,6474,+4,492,968,1398,1656,1560
10,Juzek,6416,,496,976,1404,1720,1820
11,ivanilos,6368,+3,492,956,1380,1600,1640
12,Kho0007,6344,-1,496,972,1428,1688,1810
13,maxxaon,6334,+5,492,952,1356,1624,1410
14,YuzuChan,6332,,496,972,1350,1704,1810
15,neko_nyaa,6318,+2,494,976,1386,1712,1550
16,RobeZH,6306,+3,494,964,1354,1664,1530
17,I_hate_Shadow_Light,6300,+1,394,800,1218,1648,2140
18,I_AM_CHTHOLLY,6294,,494,964,1398,1608,1830
19,sdqe,6232,,486,944,1380,1632,1790
20,HuaJun,6206,-1,496,918,1416,1776,1650
21,Mindstorm,6176,+2,436,948,1368,1624,1600
22,Not_A_SingleDogQrz,6130,,488,988,1434,1320,1900
23,waic,6082,,490,952,1374,1536,1730
24,danq,6048,,492,956,1392,1688,1520
25,langsike,6046,,436,940,1350,1360,1960
26,0w1,6020,,494,968,1428,1320,1810
27,cold_chair,6012,-1,488,952,1404,1588,1630
27,Markellonchik,6012,,496,976,1440,1720,1380
29,NeverM0re,6004,,492,968,1410,1574,1560
30,newbieyzr,5982,+2,494,964,1372,1212,1740
31,Lanthanum,5960,,494,964,1286,1576,1640
32,foothai,5926,,444,956,1386,1540,1600
33,AyumuKasuga,5924,,492,936,1314,1552,1630
34,thx,5904,,494,964,1386,1600,1460
35,litble,5900,,492,956,1380,1592,1480
36,poteryan_i_ne_naiden,5874,,496,976,1422,1240,1740
37,Slaaava,5866,,386,952,1380,1468,1680
38,Jiangkangping,5856,+1,350,940,1302,1584,1580
39,instr3,5848,,488,940,1338,1592,1490
40,lishutianxiadiyi,5846,,488,936,1338,1624,1460
41,xoxo,5836,,394,922,1422,1598,1500
42,_wxw,5830,,490,948,1374,1338,1680
43,windazz,5828,+3,490,846,1336,1416,1440
44,oldjang,5824,,436,870,1320,1398,1800
45,borisgrubic,5814,,490,928,1332,1624,1440
46,Nickir,5808,,492,960,1374,1632,1350
47,Fekete,5774,,494,976,1416,1478,1410
48,scli,5766,,488,976,1380,1032,1890
49,TooNewbie,5760,,386,848,1224,1052,2250
49,4everOrange,5760,+1,444,972,1416,1128,1750
